	p	t	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
0	0.100	0.100	150.000	63.000	87.000	10.165	17.616	0.000	0.000	0.325	1.124	5.577	10.413	10.165	10.165	5.802	0.000	0.000	0.000	0.231	0.325	0.253	3.329	5.577	5.577
1	0.100	1.000	150.000	63.000	87.000	10.384	18.233	0.052	0.222	0.314	1.128	9.851	18.100	10.384	10.384	4.128	0.045	0.052	0.047	0.213	0.314	0.220	3.826	9.851	9.851
2	0.100	5.000	150.000	63.000	87.000	9.576	17.110	0.029	0.168	0.264	1.049	6.659	12.978	9.576	9.576	4.831	0.027	0.029	0.029	0.182	0.264	0.201	3.451	6.659	6.659
3	0.100	10.000	150.000	63.000	87.000	10.120	17.506	0.000	0.000	0.278	1.249	10.534	18.750	10.120	10.120	3.881	0.000	0.000	0.000	0.235	0.278	0.224	4.057	10.534	10.534
4	0.100	15.000	150.000	63.000	87.000	9.900	17.543	0.032	0.176	0.269	1.131	7.936	15.076	9.900	9.900	4.438	0.029	0.032	0.031	0.216	0.269	0.225	3.644	7.936	7.936
5	0.100	20.000	150.000	63.000	87.000	7.047	13.120	0.035	0.183	0.279	1.023	9.893	18.085	7.047	7.047	3.686	0.032	0.035	0.035	0.231	0.279	0.243	4.602	9.893	9.893
6	0.100	25.000	150.000	63.000	87.000	9.072	16.449	0.031	0.174	0.161	0.742	11.834	20.053	9.072	9.072	3.703	0.029	0.031	0.029	0.104	0.161	0.102	4.416	11.834	11.834
7	0.100	50.000	150.000	63.000	87.000	13.040	20.752	0.009	0.095	0.108	0.622	7.776	14.706	13.040	13.040	5.053	0.009	0.009	0.008	0.091	0.108	0.087	3.546	7.776	7.776
8	0.100	75.000	150.000	63.000	87.000	9.210	16.722	0.118	0.483	0.000	0.000	4.927	7.437	9.210	9.210	6.315	0.097	0.118	0.118	0.000	0.000	0.000	3.125	4.927	4.927
9	0.100	100.000	150.000	63.000	87.000	8.597	15.810	0.257	0.910	0.000	0.000	9.066	16.137	8.597	8.597	4.045	0.229	0.257	0.257	0.000	0.000	0.000	3.960	9.066	9.066
