	p	t	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
0	0.100	0.100	578.000	303.000	275.000	90.312	63.519	1.229	2.227	41.440	38.866	129.670	89.371	90.312	86.550	40.749	0.504	1.229	0.508	40.414	41.440	13.777	84.581	129.670	100.629
1	0.100	1.000	578.000	303.000	275.000	83.371	59.270	1.142	2.455	40.140	38.144	125.873	93.630	83.371	80.079	39.040	0.645	1.142	0.583	38.956	40.140	12.242	85.592	125.873	100.270
2	0.100	5.000	578.000	303.000	275.000	92.790	64.549	1.630	2.714	41.933	41.473	125.901	89.297	92.790	87.791	42.952	0.725	1.476	0.870	39.727	41.933	12.963	78.852	125.901	98.174
3	0.100	10.000	578.000	303.000	275.000	96.146	67.211	2.309	3.112	35.780	35.430	121.080	89.945	96.146	93.044	45.839	0.749	2.113	0.982	33.868	35.780	10.746	74.674	121.080	97.201
4	0.100	15.000	578.000	303.000	275.000	107.497	76.708	5.770	6.764	34.079	31.408	124.193	89.042	104.641	100.991	47.718	1.694	4.458	1.741	27.894	33.558	10.156	66.145	121.980	103.076
5	0.100	20.000	578.000	303.000	275.000	106.342	81.205	7.045	8.131	31.662	29.361	121.436	89.180	103.091	100.074	49.089	2.092	5.707	2.416	25.396	30.858	9.164	65.538	118.679	99.986
6	0.100	25.000	578.000	303.000	275.000	111.398	82.473	9.983	10.277	26.546	23.891	124.931	91.867	105.288	104.541	48.869	2.821	7.634	2.814	18.940	24.211	7.688	63.456	119.045	107.529
7	0.100	50.000	578.000	303.000	275.000	131.738	91.327	20.638	18.223	18.517	15.917	124.664	85.180	114.474	117.042	57.366	5.488	13.538	6.697	4.446	10.442	4.538	48.805	107.102	108.384
8	0.100	75.000	578.000	303.000	275.000	127.569	91.572	37.819	34.122	2.765	5.176	96.014	74.602	99.780	127.569	77.490	10.838	37.819	33.063	1.313	2.106	1.274	44.908	91.275	96.014
9	0.100	100.000	578.000	303.000	275.000	118.577	85.572	50.179	46.749	0.000	0.000	82.243	52.773	86.782	118.577	83.101	16.905	50.179	50.179	0.000	0.000	0.000	40.299	76.827	82.243
10	1.000	0.100	578.000	303.000	275.000	95.719	58.734	0.876	3.421	49.155	49.062	132.706	87.076	95.719	87.717	40.772	0.429	0.591	0.377	45.895	49.155	14.715	83.935	132.706	97.989
11	1.000	1.000	578.000	303.000	275.000	95.253	58.405	0.860	3.150	47.741	50.434	131.159	87.253	95.253	88.104	40.733	0.422	0.628	0.379	44.726	47.741	14.446	82.884	131.159	98.776
12	1.000	5.000	578.000	303.000	275.000	113.100	79.315	6.642	12.939	41.371	41.225	135.447	88.042	110.766	99.717	44.674	2.491	3.396	2.134	27.478	38.846	11.795	67.816	133.022	105.799
13	1.000	10.000	578.000	303.000	275.000	132.459	89.138	18.814	20.975	31.933	29.403	135.554	89.683	118.711	110.237	48.654	5.183	9.102	5.188	9.019	19.489	8.501	52.206	123.220	114.488
14	1.000	15.000	578.000	303.000	275.000	143.345	87.468	23.323	21.525	26.198	23.537	140.087	88.231	123.900	121.538	51.103	6.164	12.990	6.402	6.037	14.337	6.257	49.348	122.565	120.267
15	1.000	20.000	578.000	303.000	275.000	140.602	87.304	25.802	25.741	21.924	17.965	142.978	87.195	120.145	122.256	50.298	7.156	15.661	7.614	4.812	11.368	4.899	50.298	122.854	124.562
16	1.000	25.000	578.000	303.000	275.000	143.835	87.945	30.241	33.835	19.914	14.696	140.420	84.735	118.258	126.767	52.384	8.550	19.624	9.458	4.070	8.579	4.145	48.440	114.007	122.160
17	1.000	50.000	578.000	303.000	275.000	132.338	86.853	49.781	51.970	6.277	8.273	103.937	71.410	97.415	124.692	71.185	15.059	41.771	32.249	1.140	1.184	1.670	41.411	86.871	97.737
18	1.000	75.000	578.000	303.000	275.000	131.054	85.956	50.695	52.251	0.000	0.000	87.759	48.933	96.868	131.054	88.794	15.662	50.695	50.361	0.000	0.000	0.000	38.080	81.763	87.759
