	p	t	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
0	0.100	0.100	1280.000	636.000	644.000	338.987	172.621	12.400	12.407	53.257	58.228	362.240	198.539	338.987	331.703	195.492	5.818	11.417	5.992	43.366	53.257	26.272	223.844	362.240	340.848
1	0.100	1.000	1280.000	636.000	644.000	334.888	172.262	11.390	11.805	51.094	57.592	353.563	193.714	334.888	329.367	198.365	5.355	10.815	5.690	42.455	51.094	25.909	222.275	353.563	334.053
2	0.100	5.000	1280.000	636.000	644.000	335.586	174.656	10.206	11.685	53.946	59.169	348.539	191.112	335.586	328.051	198.941	4.826	9.030	4.920	43.984	53.946	26.286	218.445	348.539	326.245
3	0.100	10.000	1280.000	636.000	644.000	328.236	167.931	10.367	11.536	56.476	62.226	346.483	187.666	328.236	318.510	197.679	5.100	8.660	5.877	46.344	56.476	28.233	221.821	346.483	324.682
4	0.100	15.000	1280.000	636.000	644.000	350.603	183.940	16.929	16.331	51.118	56.229	356.112	189.152	347.053	334.869	202.851	6.936	13.201	8.096	32.984	48.906	26.896	210.305	353.699	337.822
5	0.100	20.000	1280.000	636.000	644.000	359.462	182.851	17.959	16.589	45.025	50.557	360.770	190.651	354.379	347.945	203.269	7.000	15.170	7.178	29.852	43.412	22.636	207.236	355.923	345.344
6	0.100	25.000	1280.000	636.000	644.000	357.843	191.375	22.644	21.341	38.721	41.860	366.539	190.487	352.010	349.210	200.871	9.423	19.822	9.767	23.242	36.356	20.297	207.173	360.184	355.819
7	0.100	50.000	1280.000	636.000	644.000	365.907	188.524	34.230	32.932	26.512	28.541	368.285	189.839	356.458	357.797	204.983	16.826	31.373	19.610	11.662	23.507	11.859	203.954	359.745	359.254
8	0.100	75.000	1280.000	636.000	644.000	355.311	187.970	57.786	55.860	12.202	12.995	339.599	181.387	329.668	352.623	217.989	28.079	56.102	39.456	4.393	7.994	4.569	196.275	320.881	336.784
9	0.100	100.000	1280.000	636.000	644.000	354.043	191.642	76.175	67.836	0.000	0.000	289.824	139.616	322.535	354.043	248.805	38.000	76.175	76.175	0.000	0.000	0.000	173.112	285.458	289.824
10	1.000	0.100	1280.000	636.000	644.000	362.130	135.448	9.181	10.784	76.433	91.161	384.752	166.767	362.130	335.391	193.755	3.356	4.899	3.620	57.153	76.433	35.208	228.627	384.752	346.997
11	1.000	1.000	1280.000	636.000	644.000	361.144	136.125	9.266	11.128	79.728	92.527	384.079	167.316	361.144	333.156	193.359	3.416	4.728	3.796	59.403	79.728	36.703	228.129	384.079	345.811
12	1.000	5.000	1280.000	636.000	644.000	391.602	148.890	22.305	28.859	65.282	78.971	391.733	165.075	382.287	355.259	200.076	8.889	13.163	8.778	34.828	58.591	28.705	210.548	384.549	358.518
13	1.000	10.000	1280.000	636.000	644.000	401.579	152.920	33.831	43.823	43.035	50.789	403.824	156.423	389.744	382.478	201.672	15.365	27.127	14.884	19.919	37.867	18.628	205.295	392.921	385.151
14	1.000	15.000	1280.000	636.000	644.000	405.629	156.071	43.712	57.624	34.834	41.285	402.312	154.812	386.984	390.910	205.509	20.020	38.015	20.760	14.170	27.750	14.504	201.091	383.730	387.490
15	1.000	20.000	1280.000	636.000	644.000	401.907	157.952	51.193	66.301	28.752	33.760	397.700	151.876	376.699	390.113	207.678	23.571	45.810	25.860	10.860	20.178	11.550	199.581	371.801	385.421
16	1.000	25.000	1280.000	636.000	644.000	397.216	160.452	60.274	74.949	23.117	25.407	390.909	147.969	365.251	387.623	211.255	27.547	55.096	32.229	8.109	13.585	8.725	197.861	357.388	380.205
17	1.000	50.000	1280.000	636.000	644.000	384.314	164.035	79.061	90.602	8.904	9.427	361.599	142.243	346.417	382.228	227.499	36.241	76.944	55.535	2.837	3.244	2.744	191.264	330.749	359.434
18	1.000	75.000	1280.000	636.000	644.000	382.949	163.946	79.466	89.087	0.017	0.130	321.797	115.346	344.219	382.949	253.324	36.701	79.466	78.704	0.006	0.007	0.016	179.746	315.973	321.797
19	1.000	100.000	1280.000	636.000	644.000	383.261	163.281	82.436	92.247	0.000	0.000	322.075	114.866	345.188	383.261	251.979	38.589	82.436	81.669	0.000	0.000	0.000	178.627	316.110	322.075
20	5.000	0.100	1280.000	636.000	644.000	367.980	134.669	7.570	9.998	97.569	129.938	393.731	171.546	367.980	338.778	191.181	2.251	3.167	2.800	74.921	97.569	48.530	233.594	393.731	353.342
21	5.000	1.000	1280.000	636.000	644.000	393.016	147.364	16.389	20.875	92.398	123.306	397.311	171.698	385.819	350.139	197.494	5.267	7.128	5.688	57.092	86.666	45.608	217.566	391.500	357.571
22	5.000	5.000	1280.000	636.000	644.000	416.994	156.133	33.150	45.653	55.128	76.919	419.222	160.141	405.596	397.124	201.513	14.233	26.302	13.594	29.732	50.559	27.585	205.458	408.372	398.843
23	5.000	10.000	1280.000	636.000	644.000	420.773	158.269	46.554	64.415	41.043	56.283	419.452	157.356	405.641	408.155	203.762	22.590	41.576	23.019	19.062	35.183	19.376	202.399	404.314	406.764
24	5.000	15.000	1280.000	636.000	644.000	416.690	163.784	61.851	89.851	30.242	42.221	414.430	154.938	391.150	406.283	206.646	30.893	56.886	33.789	12.024	22.214	12.615	200.757	388.594	403.051
25	5.000	20.000	1280.000	636.000	644.000	408.378	168.418	75.962	108.735	23.447	31.185	406.798	150.474	373.091	399.133	210.611	37.647	69.924	43.577	8.412	13.856	8.595	199.296	369.519	395.535
26	5.000	25.000	1280.000	636.000	644.000	401.625	170.691	87.800	121.195	19.309	23.615	398.532	146.608	361.863	393.604	214.890	43.118	80.904	51.377	6.636	8.903	6.303	197.683	353.832	387.695
27	5.000	50.000	1280.000	636.000	644.000	393.807	170.842	98.537	130.109	0.520	0.991	334.212	122.962	353.314	393.807	252.409	48.982	98.537	92.653	0.220	0.213	0.268	179.944	326.217	334.212
28	5.000	75.000	1280.000	636.000	644.000	394.017	170.659	99.614	131.083	0.000	0.000	331.930	120.516	353.033	394.017	253.659	49.667	99.614	94.982	0.000	0.000	0.000	178.728	324.757	331.930
29	5.000	100.000	1280.000	636.000	644.000	394.157	170.810	98.616	130.247	0.000	0.000	331.370	120.526	353.497	394.157	254.193	49.122	98.616	94.096	0.000	0.000	0.000	178.484	324.443	331.370
30	10.000	0.100	1280.000	636.000	644.000	377.296	143.428	7.349	9.911	118.447	157.457	405.384	182.896	377.296	346.793	190.636	2.046	2.933	2.721	90.074	118.447	61.745	235.913	405.384	362.355
31	10.000	1.000	1280.000	636.000	644.000	409.404	155.221	18.243	22.074	105.242	142.700	414.579	180.684	399.408	367.717	197.323	5.549	8.839	5.951	66.537	98.432	55.106	217.232	407.494	375.125
32	10.000	5.000	1280.000	636.000	644.000	432.224	167.793	34.120	49.546	69.542	88.946	434.106	167.673	420.627	414.539	202.547	14.242	28.058	13.644	40.541	65.198	37.612	204.975	422.811	415.044
33	10.000	10.000	1280.000	636.000	644.000	435.961	168.894	49.665	67.740	54.806	72.524	436.365	168.503	422.816	421.873	203.032	24.308	44.279	24.165	28.096	49.836	27.943	203.040	423.218	422.231
34	10.000	15.000	1280.000	636.000	644.000	434.718	168.134	63.213	82.900	41.411	59.347	435.066	169.241	417.596	422.691	202.962	33.394	58.630	34.547	18.487	35.216	18.974	203.551	418.427	422.954
35	10.000	20.000	1280.000	636.000	644.000	430.587	173.154	76.872	105.172	30.026	44.254	427.914	165.493	404.779	420.032	207.534	41.040	72.013	45.839	11.506	22.837	11.939	201.174	403.574	416.496
36	10.000	25.000	1280.000	636.000	644.000	421.661	179.027	94.134	131.216	23.100	31.405	418.246	159.998	385.207	412.739	212.231	49.285	87.985	57.194	8.090	13.958	7.977	199.070	380.948	407.199
37	10.000	50.000	1280.000	636.000	644.000	405.108	181.678	119.741	157.621	1.362	1.674	348.915	137.375	362.389	405.108	250.097	62.288	119.741	104.413	0.469	0.481	0.441	180.917	336.457	348.915
38	10.000	75.000	1280.000	636.000	644.000	403.773	181.284	119.842	157.898	0.000	0.000	342.855	131.959	361.308	403.773	253.380	62.357	119.842	108.637	0.000	0.000	0.000	179.478	334.927	342.855
39	10.000	100.000	1280.000	636.000	644.000	404.769	181.748	119.784	156.869	0.000	0.000	343.101	132.014	362.180	404.769	253.669	62.253	119.784	108.761	0.000	0.000	0.000	178.997	335.069	343.101
40	15.000	0.100	1280.000	636.000	644.000	388.903	153.931	7.209	10.107	140.349	179.400	416.517	193.197	388.903	357.383	191.262	1.954	2.851	2.641	103.550	140.349	73.807	236.228	416.517	371.402
41	15.000	1.000	1280.000	636.000	644.000	423.303	166.037	18.375	22.407	124.325	159.559	427.845	189.289	413.669	382.960	198.315	5.534	9.411	5.868	78.924	118.058	66.518	216.973	421.368	388.136
42	15.000	5.000	1280.000	636.000	644.000	448.938	179.659	35.848	53.728	85.728	101.801	448.153	176.632	437.171	430.704	204.493	14.727	30.019	14.403	50.450	81.361	46.981	203.981	436.649	427.623
43	15.000	10.000	1280.000	636.000	644.000	454.799	181.440	54.480	74.255	69.444	85.482	451.097	178.926	441.184	439.409	205.492	25.956	48.483	26.002	36.350	64.270	36.457	200.683	437.465	435.559
44	15.000	15.000	1280.000	636.000	644.000	451.902	178.992	68.844	85.260	55.330	75.244	454.535	181.741	436.124	438.365	201.201	35.821	63.680	35.913	26.707	49.297	26.757	205.005	438.951	441.027
45	15.000	20.000	1280.000	636.000	644.000	449.340	177.952	81.077	97.926	41.005	61.086	451.086	180.829	429.868	437.687	202.487	43.806	76.700	45.844	17.602	34.808	17.967	204.978	433.084	439.189
46	15.000	25.000	1280.000	636.000	644.000	444.134	182.784	95.787	122.309	30.310	45.426	442.345	175.775	417.462	433.769	208.089	52.103	90.763	58.452	11.453	23.619	11.568	202.191	418.156	430.964
47	15.000	50.000	1280.000	636.000	644.000	417.190	191.966	140.758	177.887	5.158	4.529	380.815	159.179	371.882	417.190	239.195	73.977	140.758	106.033	1.783	1.806	1.534	188.027	353.991	380.815
48	15.000	75.000	1280.000	636.000	644.000	417.524	192.025	140.816	177.914	0.000	0.000	355.262	143.200	372.180	417.524	254.364	74.041	140.816	121.205	0.000	0.000	0.000	179.712	345.954	355.262
49	15.000	100.000	1280.000	636.000	644.000	416.999	191.792	141.449	178.246	0.000	0.000	354.753	142.809	371.691	416.999	254.341	74.361	141.449	121.846	0.000	0.000	0.000	179.533	345.431	354.753
50	20.000	0.100	1280.000	636.000	644.000	401.594	164.016	7.235	10.115	161.745	194.761	429.390	201.955	401.594	368.651	191.787	1.930	2.844	2.659	114.868	161.745	84.359	236.568	429.390	381.851
51	20.000	1.000	1280.000	636.000	644.000	437.267	176.285	18.713	23.664	144.270	173.663	441.070	198.148	427.638	395.980	199.171	5.590	9.806	5.963	89.834	138.038	76.829	216.823	434.558	399.306
52	20.000	5.000	1280.000	636.000	644.000	466.620	189.873	38.436	57.707	102.769	114.203	463.110	185.520	454.781	447.803	206.265	15.484	32.875	15.534	59.705	98.398	55.699	203.468	451.519	441.009
53	20.000	10.000	1280.000	636.000	644.000	475.348	192.863	59.762	80.825	84.278	95.599	467.967	188.674	461.803	458.614	207.894	27.667	53.263	27.954	43.271	79.070	43.809	198.559	454.379	450.829
54	20.000	15.000	1280.000	636.000	644.000	471.050	190.476	75.727	91.185	70.409	87.982	472.598	191.533	455.745	456.420	201.982	38.048	70.069	37.884	34.648	64.412	34.503	204.070	457.320	457.978
55	20.000	20.000	1280.000	636.000	644.000	466.472	187.648	88.737	99.433	54.453	76.221	474.903	193.046	447.529	453.723	198.358	46.470	83.958	46.404	24.866	47.795	24.707	208.543	456.918	462.110
56	20.000	25.000	1280.000	636.000	644.000	463.652	187.060	101.455	114.441	40.193	60.601	467.526	190.077	440.922	452.384	203.222	54.415	97.064	58.423	16.813	34.438	16.723	206.490	448.069	455.934
