	p	t	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
0	0.100	0.100	217.000	125.000	92.000	23.935	20.445	0.816	1.315	12.286	18.739	25.087	27.923	23.935	22.515	12.802	0.245	0.816	0.365	11.918	12.286	5.095	18.115	25.087	20.025
1	0.100	1.000	217.000	125.000	92.000	20.043	18.649	0.537	1.182	10.213	18.744	26.313	30.400	20.043	18.646	10.663	0.204	0.537	0.213	9.753	10.213	4.047	19.839	26.313	21.162
2	0.100	5.000	217.000	125.000	92.000	20.081	19.357	0.599	1.342	15.540	22.174	29.593	30.913	20.081	16.932	10.751	0.255	0.475	0.278	13.902	15.540	4.540	22.052	29.593	19.905
3	0.100	10.000	217.000	125.000	92.000	19.576	18.738	0.375	1.130	10.593	16.575	31.044	31.498	19.576	18.294	10.986	0.201	0.375	0.157	10.110	10.593	3.518	23.040	31.044	24.426
4	0.100	15.000	217.000	125.000	92.000	20.712	21.980	0.824	2.306	11.939	16.505	31.066	33.205	20.712	19.482	10.142	0.438	0.824	0.379	11.031	11.939	3.789	20.965	31.066	25.107
5	0.100	20.000	217.000	125.000	92.000	27.959	29.781	2.947	4.679	6.481	10.926	31.855	33.321	24.925	23.782	12.360	0.834	1.858	0.816	3.723	5.366	2.323	15.396	28.078	26.155
6	0.100	25.000	217.000	125.000	92.000	26.291	29.004	2.875	4.841	7.345	9.533	34.819	31.826	24.153	21.916	12.783	0.883	1.808	0.871	4.194	6.220	1.904	17.742	31.100	25.829
7	0.100	50.000	217.000	125.000	92.000	33.414	31.456	5.131	6.782	4.153	6.973	31.495	33.557	26.560	28.020	13.315	1.384	3.497	1.635	1.395	2.713	1.290	13.911	26.545	27.600
8	0.100	75.000	217.000	125.000	92.000	29.822	31.745	13.874	17.168	1.609	3.937	24.857	27.725	22.386	29.822	18.132	4.010	13.874	8.392	0.519	0.983	0.873	12.068	22.362	24.857
9	0.100	100.000	217.000	125.000	92.000	24.751	27.323	17.880	28.627	0.000	0.000	15.158	9.293	17.491	24.751	22.105	8.773	17.880	17.880	0.000	0.000	0.000	8.993	12.571	15.158
10	1.000	0.100	217.000	125.000	92.000	19.528	17.563	0.335	1.309	15.306	26.801	30.906	32.853	19.528	16.790	9.455	0.173	0.275	0.133	13.511	15.306	5.159	23.078	30.906	22.116
