	p	t	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
0	0.100	0.100	284.000	137.000	147.000	24.233	23.967	0.000	0.000	15.493	19.092	34.433	37.252	24.233	22.137	11.252	0.000	0.000	0.000	15.462	15.493	3.763	25.076	34.433	22.621
1	0.100	1.000	284.000	137.000	147.000	23.414	22.446	0.000	0.000	12.045	19.733	39.338	37.257	23.414	21.229	10.195	0.000	0.000	0.000	12.014	12.045	3.654	23.787	39.338	30.032
2	0.100	5.000	284.000	137.000	147.000	26.559	23.786	0.000	0.000	13.292	17.761	38.286	40.528	26.559	24.840	11.146	0.000	0.000	0.000	13.252	13.292	2.879	27.318	38.286	26.508
3	0.100	10.000	284.000	137.000	147.000	27.657	26.268	0.188	0.583	11.065	16.376	38.796	38.930	27.657	26.262	10.529	0.090	0.188	0.065	10.851	11.065	3.253	20.937	38.796	32.473
4	0.100	15.000	284.000	137.000	147.000	25.087	26.577	0.385	0.788	14.618	15.808	38.410	37.673	25.087	23.387	11.416	0.118	0.385	0.149	14.359	14.618	2.962	26.156	38.410	25.482
5	0.100	20.000	284.000	137.000	147.000	28.565	26.529	0.581	0.908	17.500	15.365	35.911	35.335	28.565	27.184	11.590	0.131	0.581	0.160	17.012	17.500	3.979	21.249	35.911	27.221
6	0.100	25.000	284.000	137.000	147.000	33.898	37.607	3.842	5.666	5.099	9.856	34.849	37.187	29.708	30.772	13.423	0.779	2.843	0.968	2.777	4.099	1.928	13.556	31.961	32.034
7	0.100	50.000	284.000	137.000	147.000	36.242	40.893	4.750	7.835	3.921	7.707	40.087	42.012	31.684	34.945	13.224	1.253	4.365	1.615	1.419	3.248	1.271	14.265	37.964	38.370
8	0.100	75.000	284.000	137.000	147.000	43.488	39.385	10.434	14.633	0.222	0.629	30.511	22.762	35.436	43.488	24.235	2.598	10.434	10.092	0.048	0.222	0.097	9.554	29.154	30.511
9	0.100	100.000	284.000	137.000	147.000	36.176	36.012	14.077	19.621	0.000	0.000	26.552	21.693	27.130	36.176	22.756	3.937	14.077	14.077	0.000	0.000	0.000	10.447	24.523	26.552
10	1.000	0.100	284.000	137.000	147.000	24.899	22.620	0.064	0.820	15.111	22.245	39.796	40.117	24.899	22.504	9.860	0.052	0.056	0.041	14.894	15.111	3.946	26.097	39.796	28.168
11	1.000	1.000	284.000	137.000	147.000	27.642	23.724	0.055	0.675	14.011	21.041	42.301	40.072	27.642	25.385	10.075	0.046	0.050	0.039	13.803	14.011	3.701	25.274	42.301	31.710
12	1.000	5.000	284.000	137.000	147.000	28.756	26.249	0.458	2.222	13.033	19.632	39.793	40.288	28.756	26.767	10.285	0.299	0.422	0.256	12.281	13.033	3.442	23.085	39.793	30.938
13	1.000	10.000	284.000	137.000	147.000	29.392	32.770	1.236	5.142	12.551	16.853	40.455	40.849	29.392	26.670	10.782	0.811	0.876	0.565	8.642	12.551	2.879	20.009	40.455	30.553
14	1.000	15.000	284.000	137.000	147.000	35.951	40.308	4.168	8.811	8.708	13.490	40.313	40.623	32.802	29.819	12.350	1.448	2.108	1.259	2.672	5.914	2.047	14.055	36.317	32.407
15	1.000	20.000	284.000	137.000	147.000	39.762	42.130	5.628	9.951	6.510	9.861	42.492	41.474	34.477	33.800	12.814	1.681	3.391	1.578	1.608	3.851	1.435	13.318	36.310	35.518
16	1.000	25.000	284.000	137.000	147.000	41.598	41.948	6.163	11.111	5.364	8.072	41.489	40.271	35.999	36.362	13.550	1.929	4.145	2.080	1.134	2.861	1.145	12.696	34.770	34.845
17	1.000	50.000	284.000	137.000	147.000	39.660	39.646	14.657	22.207	0.878	3.721	29.399	32.637	28.839	39.660	18.645	3.855	14.657	8.641	0.183	0.237	0.464	10.770	25.434	29.399
18	1.000	75.000	284.000	137.000	147.000	39.156	39.729	14.257	21.645	0.000	0.000	26.595	23.305	28.583	39.156	24.710	3.976	14.257	14.065	0.000	0.000	0.000	10.057	24.187	26.595
19	1.000	100.000	284.000	137.000	147.000	41.925	40.159	15.018	21.818	0.000	0.000	28.692	23.416	30.371	41.925	25.849	3.914	15.018	14.843	0.000	0.000	0.000	9.985	26.213	28.692
20	5.000	0.100	284.000	137.000	147.000	30.940	25.332	0.078	0.880	18.646	30.222	42.907	41.817	30.940	28.297	10.162	0.049	0.076	0.047	16.591	18.646	5.984	25.122	42.907	31.294
21	5.000	1.000	284.000	137.000	147.000	30.704	27.266	0.246	1.708	18.778	27.118	43.280	41.945	30.704	27.881	10.338	0.151	0.225	0.135	16.793	18.778	5.905	24.761	43.280	31.301
22	5.000	5.000	284.000	137.000	147.000	37.227	41.023	3.414	8.697	13.455	18.213	42.757	42.568	36.813	32.247	12.137	1.490	2.036	1.214	5.815	12.718	4.026	15.089	41.880	33.232
23	5.000	10.000	284.000	137.000	147.000	43.380	44.771	7.353	11.789	7.430	11.714	43.892	44.928	37.970	37.564	12.879	2.580	5.216	2.514	2.433	5.229	2.359	13.139	37.991	37.555
24	5.000	15.000	284.000	137.000	147.000	43.988	44.200	9.102	13.651	6.062	10.166	43.731	44.516	36.815	37.780	13.070	3.261	6.654	3.425	1.578	3.495	1.632	13.059	36.708	37.530
