	p	t	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
0	0.100	0.100	1399.000	690.000	709.000	710.943	299.501	22.360	16.205	47.342	40.906	712.711	305.878	710.943	709.821	603.133	19.892	21.936	19.633	43.834	47.342	37.983	605.489	712.711	706.545
1	0.100	1.000	1399.000	690.000	709.000	719.204	295.755	23.619	17.548	46.770	40.419	717.622	307.119	719.204	716.403	607.128	20.731	22.588	20.667	41.818	46.770	36.579	606.611	717.622	709.915
2	0.100	5.000	1399.000	690.000	709.000	715.385	295.191	24.384	16.613	45.405	38.914	718.295	304.890	715.385	713.915	605.390	20.960	23.791	20.955	40.807	45.405	36.190	609.610	718.295	712.522
3	0.100	10.000	1399.000	690.000	709.000	706.475	297.562	23.769	17.258	44.203	37.016	725.019	299.737	706.475	705.590	595.349	20.582	23.393	20.578	40.313	44.203	34.913	613.381	725.019	719.176
4	0.100	15.000	1399.000	690.000	709.000	709.255	300.274	22.743	17.226	46.989	43.087	720.400	302.775	709.255	707.340	599.591	19.661	22.062	19.412	42.299	46.989	36.940	610.414	720.400	713.736
5	0.100	20.000	1399.000	690.000	709.000	711.706	299.211	22.607	16.125	48.417	44.241	717.691	305.153	711.706	709.205	603.342	19.192	21.709	19.453	43.032	48.417	38.234	608.583	717.691	710.748
6	0.100	25.000	1399.000	690.000	709.000	715.021	294.515	23.975	16.109	45.446	34.428	719.481	303.982	715.021	713.612	606.075	20.813	23.426	20.651	40.782	45.446	35.012	610.586	719.481	712.963
7	0.100	50.000	1399.000	690.000	709.000	726.707	293.894	38.772	22.707	32.812	27.198	713.296	309.536	721.046	724.756	614.683	29.356	36.821	32.489	26.064	29.025	27.870	599.747	708.824	711.697
8	0.100	75.000	1399.000	690.000	709.000	719.754	297.897	47.232	25.878	2.029	2.036	687.000	287.802	710.516	719.754	617.688	36.760	47.232	45.289	1.121	1.403	1.229	585.140	684.820	687.000
9	0.100	100.000	1399.000	690.000	709.000	721.708	297.585	49.834	25.554	0.000	0.000	690.444	280.048	711.917	721.708	620.002	39.428	49.834	49.834	0.000	0.000	0.000	588.468	690.020	690.444
