	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
40	0.1	0.1	AP2A1	12.0	0.0	12.0	0.986	0.11900000000000001	0.0	0.0	0.033	0.17800000000000002	0.951	0.21600000000000003	0.986	0.986	0.986	0.0	0.0	0.0	0.033	0.033	0.033	0.951	0.951	0.951
41	0.1	0.1	AP2B1	12.0	1.0	11.0	0.9840000000000001	0.127	0.0	0.0	0.040999999999999995	0.198	0.9390000000000001	0.24	0.9840000000000001	0.9840000000000001	0.9840000000000001	0.0	0.0	0.0	0.040999999999999995	0.040999999999999995	0.040999999999999995	0.9390000000000001	0.9390000000000001	0.9390000000000001
54	0.1	0.1	ARRB1	13.0	3.0	10.0	1.0959999999999999	0.473	0.0	0.0	0.0	0.0	1.055	0.401	1.0959999999999999	1.0959999999999999	1.0388625592417062	0.0	0.0	0.0	0.0	0.0	0.0	0.9625912408759124	1.055	1.055
77	0.1	0.1	ATP6V1C1	14.0	6.0	8.0	1.784	1.8619999999999999	0.0	0.0	0.024	0.154	1.439	1.515	1.784	1.784	1.2397498262682418	0.0	0.0	0.0	0.01345291479820628	0.024	0.01667824878387769	0.8066143497757847	1.439	1.439
78	0.1	0.1	ATP6V1C2	11.0	5.0	6.0	1.7309999999999999	1.607	0.0	0.0	0.086	0.28	1.4569999999999999	1.48	1.7309999999999999	1.7309999999999999	1.18805765271105	0.0	0.0	0.0	0.04968226458694396	0.086	0.059025394646533974	0.8417099942229925	1.4569999999999999	1.4569999999999999
94	0.1	0.1	BCAR1	14.0	1.0	13.0	0.986	0.11699999999999999	0.0	0.0	0.055	0.228	0.932	0.253	0.986	0.986	0.986	0.0	0.0	0.0	0.055	0.055	0.055	0.932	0.932	0.932
97	0.1	0.1	BDKRB1	11.0	1.0	10.0	0.982	0.131	0.0	0.0	0.0	0.0	0.982	0.134	0.982	0.982	0.982	0.0	0.0	0.0	0.0	0.0	0.0	0.982	0.982	0.982
98	0.1	0.1	BDKRB2	12.0	0.0	12.0	0.986	0.12	0.0	0.0	0.027999999999999997	0.16399999999999998	0.958	0.2	0.986	0.986	0.986	0.0	0.0	0.0	0.027999999999999997	0.027999999999999997	0.027999999999999997	0.958	0.958	0.958
101	0.1	0.1	BLNK	11.0	0.0	11.0	0.9740000000000001	0.158	0.0	0.0	0.028999999999999998	0.16899999999999998	0.956	0.205	0.9740000000000001	0.9740000000000001	0.9740000000000001	0.0	0.0	0.0	0.028999999999999998	0.028999999999999998	0.028999999999999998	0.956	0.956	0.956
118	0.1	0.1	CALM3	15.0	4.0	11.0	1.111	0.614	0.0	0.0	0.0	0.0	1.159	0.715	1.111	1.111	0.9585849870578084	0.0	0.0	0.0	0.0	0.0	0.0	1.0432043204320431	1.159	1.159
