	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
330	0.1	0.1	N4	11.0	3.0	8.0	1.209	0.667	0.0	0.0	0.0	0.0	1.135	0.556	1.209	1.209	1.0651982378854623	0.0	0.0	0.0	0.0	0.0	0.0	0.9387923904052936	1.135	1.135
429	0.1	0.1	N49	11.0	7.0	4.0	1.857	1.94	0.179	0.38299999999999995	0.257	0.43700000000000006	2.2569999999999997	2.208	1.857	1.857	0.8227735932653965	0.09639203015616586	0.179	0.07930881701373503	0.13839526117393647	0.257	0.11386796632698272	1.2154011847065158	2.2569999999999997	2.2569999999999997
564	0.1	0.1	N613	11.0	5.0	6.0	0.968	0.177	0.0	0.0	0.633	1.137	1.327	0.682	0.968	0.968	0.7294649585531273	0.0	0.0	0.0	0.633	0.633	0.4770158251695554	1.327	1.327	1.327
595	0.1	0.1	N643	12.0	6.0	6.0	0.975	0.156	0.0	0.0	1.182	1.45	1.7269999999999999	1.031	0.975	0.8248730964467005	0.5645628257093225	0.0	0.0	0.0	1.182	1.182	0.6844238563983787	1.7269999999999999	1.7269999999999999	1.461082910321489
607	0.1	0.1	N655	13.0	7.0	6.0	0.96	0.196	0.0	0.0	0.6829999999999999	1.405	1.463	1.038	0.96	0.96	0.656185919343814	0.0	0.0	0.0	0.6829999999999999	0.6829999999999999	0.4668489405331511	1.463	1.463	1.463
754	0.1	0.1	N790	11.0	3.0	8.0	1.0	0.20199999999999999	0.02	0.141	0.135	0.341	1.077	0.385	1.0	1.0	0.9285051067780872	0.02	0.02	0.018570102135561747	0.135	0.135	0.1253481894150418	1.077	1.077	1.077
1279	0.1	1.0	N4	11.0	3.0	8.0	1.143	0.5710000000000001	0.0	0.0	0.0	0.0	1.2	0.644	1.143	1.143	0.9525	0.0	0.0	0.0	0.0	0.0	0.0	1.0498687664041997	1.2	1.2
1378	0.1	1.0	N49	11.0	7.0	4.0	1.7919999999999998	1.893	0.16699999999999998	0.373	0.36700000000000005	1.11	1.6	1.744	1.7919999999999998	1.7919999999999998	1.12	0.09319196428571427	0.16699999999999998	0.104375	0.20479910714285712	0.36700000000000005	0.229375	0.8928571428571429	1.6	1.6
1513	0.1	1.0	N613	11.0	5.0	6.0	0.97	0.171	0.0	0.0	0.78	1.1159999999999999	1.561	0.885	0.97	0.97	0.6213965406790519	0.0	0.0	0.0	0.78	0.78	0.4996796925048047	1.561	1.561	1.561
1544	0.1	1.0	N643	12.0	6.0	6.0	0.9640000000000001	0.18600000000000003	0.0	0.0	0.634	1.1840000000000002	1.317	0.868	0.9640000000000001	0.9640000000000001	0.7319665907365224	0.0	0.0	0.0	0.634	0.634	0.4813971146545178	1.317	1.317	1.317
1556	0.1	1.0	N655	13.0	7.0	6.0	0.963	0.18899999999999997	0.0	0.0	1.032	1.636	1.6769999999999998	1.175	0.963	0.9331395348837208	0.5742397137745975	0.0	0.0	0.0	1.032	1.032	0.6153846153846154	1.6769999999999998	1.6769999999999998	1.625
1703	0.1	1.0	N790	11.0	3.0	8.0	1.089	0.342	0.107	0.309	0.222	0.49700000000000005	1.13	0.387	1.089	1.089	0.963716814159292	0.09825528007346188	0.107	0.09469026548672567	0.2038567493112948	0.222	0.19646017699115045	1.0376492194674012	1.13	1.13
2228	0.1	5.0	N4	11.0	3.0	8.0	1.339	0.7859999999999999	0.0	0.0	0.0	0.0	1.137	0.561	1.339	1.339	1.1776605101143358	0.0	0.0	0.0	0.0	0.0	0.0	0.8491411501120241	1.137	1.137
2327	0.1	5.0	N49	11.0	7.0	4.0	1.906	1.974	0.188	0.39	0.212	0.409	2.03	2.0669999999999997	1.906	1.906	0.9389162561576356	0.09863588667366212	0.188	0.09261083743842366	0.11122770199370408	0.212	0.10443349753694582	1.0650577124868834	2.03	2.03
2462	0.1	5.0	N613	11.0	5.0	6.0	0.968	0.177	0.0	0.0	0.426	0.9620000000000001	1.234	0.626	0.968	0.968	0.7844408427876823	0.0	0.0	0.0	0.426	0.426	0.3452188006482982	1.234	1.234	1.234
2493	0.1	5.0	N643	12.0	6.0	6.0	0.9570000000000001	0.204	0.0	0.0	0.8	1.327	1.511	0.91	0.9570000000000001	0.9570000000000001	0.6333553937789543	0.0	0.0	0.0	0.8	0.8	0.5294506949040372	1.511	1.511	1.511
2505	0.1	5.0	N655	13.0	7.0	6.0	0.971	0.16899999999999998	0.0	0.0	0.721	1.42	1.5119999999999998	1.0859999999999999	0.971	0.971	0.6421957671957672	0.0	0.0	0.0	0.721	0.721	0.4768518518518518	1.5119999999999998	1.5119999999999998	1.5119999999999998
2652	0.1	5.0	N790	11.0	3.0	8.0	1.022	0.257	0.044000000000000004	0.20600000000000002	0.19699999999999998	0.5379999999999999	1.0490000000000002	0.282	1.022	1.022	0.9742612011439468	0.043052837573385516	0.044000000000000004	0.041944709246901815	0.19275929549902154	0.19699999999999998	0.18779790276453767	1.0264187866927592	1.0490000000000002	1.0490000000000002
3177	0.1	10.0	N4	11.0	3.0	8.0	1.3119999999999998	0.768	0.0	0.0	0.0	0.0	1.1840000000000002	0.628	1.3119999999999998	1.3119999999999998	1.108108108108108	0.0	0.0	0.0	0.0	0.0	0.0	0.9024390243902438	1.1840000000000002	1.1840000000000002
3276	0.1	10.0	N49	11.0	7.0	4.0	1.905	1.9980000000000002	0.19	0.39299999999999996	0.419	0.493	2.29	2.399	1.905	1.905	0.8318777292576419	0.09973753280839896	0.19	0.08296943231441048	0.21994750656167975	0.419	0.18296943231441049	1.2020997375328084	2.29	2.29
3411	0.1	10.0	N613	11.0	5.0	6.0	0.972	0.16399999999999998	0.0	0.0	0.78	1.179	1.463	0.799	0.972	0.972	0.6643882433356118	0.0	0.0	0.0	0.78	0.78	0.5331510594668489	1.463	1.463	1.463
