	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
1	0.1	0.1	ABL1	23.0	0.0	23.0	0.99	0.098	0.0	0.0	0.0	0.0	0.992	0.091	0.99	0.99	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.992	0.992	0.992
13	0.1	0.1	ACTB	22.0	0.0	22.0	0.99	0.10099999999999999	0.0	0.0	0.059000000000000004	0.23600000000000002	0.932	0.251	0.99	0.99	0.99	0.0	0.0	0.0	0.059000000000000004	0.059000000000000004	0.059000000000000004	0.932	0.932	0.932
31	0.1	0.1	AKT1	30.0	1.0	29.0	0.992	0.086	0.0	0.0	0.006	0.08	0.987	0.11199999999999999	0.992	0.992	0.992	0.0	0.0	0.0	0.006	0.006	0.006	0.987	0.987	0.987
55	0.1	0.1	ARRB2	21.0	6.0	15.0	1.308	1.2329999999999999	0.0	0.0	0.013000000000000001	0.113	1.2990000000000002	1.249	1.308	1.308	1.0069284064665127	0.0	0.0	0.0	0.009938837920489295	0.013000000000000001	0.010007698229407235	0.9931192660550456	1.2990000000000002	1.2990000000000002
136	0.1	0.1	CAV1	30.0	2.0	28.0	1.07	0.27899999999999997	0.0	0.0	0.019	0.138	1.0190000000000001	0.266	1.07	1.07	1.0500490677134446	0.0	0.0	0.0	0.01775700934579439	0.019	0.018645731108930325	0.9523364485981308	1.0190000000000001	1.0190000000000001
220	0.1	0.1	CLTC	24.0	7.0	17.0	1.452	1.605	0.0	0.0	0.01	0.099	1.337	1.43	1.452	1.452	1.0860134629768137	0.0	0.0	0.0	0.006887052341597796	0.01	0.0074794315632011965	0.9207988980716252	1.337	1.337
230	0.1	0.1	CREBBP	20.0	4.0	16.0	0.987	0.11199999999999999	0.0	0.0	0.257	0.67	1.119	0.353	0.987	0.987	0.8820375335120644	0.0	0.0	0.0	0.257	0.257	0.2296693476318141	1.119	1.119	1.119
302	0.1	0.1	EGF	22.0	5.0	17.0	1.3559999999999999	1.1640000000000001	0.0	0.0	0.0	0.0	1.113	0.7020000000000001	1.3559999999999999	1.3559999999999999	1.2183288409703503	0.0	0.0	0.0	0.0	0.0	0.0	0.8207964601769909	1.113	1.113
327	0.1	0.1	ERBB2	18.0	4.0	14.0	1.114	0.622	0.0	0.0	0.057	0.233	1.172	0.8740000000000001	1.114	1.114	0.9505119453924916	0.0	0.0	0.0	0.0511669658886894	0.057	0.04863481228668942	1.0520646319569118	1.172	1.172
365	0.1	0.1	FLNC	17.0	6.0	11.0	1.365	1.186	0.095	0.294	0.32799999999999996	0.9359999999999999	1.0659999999999998	0.956	1.365	1.365	1.2804878048780488	0.0695970695970696	0.095	0.08911819887429644	0.2402930402930403	0.32799999999999996	0.3076923076923077	0.7809523809523811	1.0659999999999998	1.0659999999999998
