source	target	sign
N0 N793 -
N0 N3324 +
N0 N1183 +
N2 N3242 +
N2 N69 +
N2 N2383 +
N3 N2379 +
N3 N2107 -
N3 N2590 -
N4 N2151 -
N5 N1641 -
N5 N1994 +
N5 N2165 -
N5 N1639 -
N6 N2706 +
N7 N964 +
N8 N1912 +
N8 N2685 +
N10 N3265 +
N12 N1903 -
N13 N1618 -
N15 N3322 -
N15 N404 -
N15 N2517 -
N16 N1251 +
N16 N3174 -
N18 N143 +
N19 N1393 +
N19 N867 +
N20 N1783 -
N20 N839 -
N21 N2136 +
N21 N11 -
N22 N2929 +
N22 N3179 +
N22 N566 +
N23 N2273 +
N23 N391 -
N24 N492 +
N24 N2662 -
N24 N1511 +
N25 N1023 -
N26 N1220 -
N26 N2821 -
N26 N2351 -
N28 N304 -
N28 N856 -
N29 N1441 +
N29 N2331 -
N29 N2801 -
N32 N625 +
N32 N2355 -
N33 N1656 +
N33 N2179 -
N34 N432 +
N34 N1283 +
N34 N108 -
N35 N2785 -
N35 N1834 +
N35 N781 +
N35 N726 -
N36 N3106 +
N36 N2963 +
N37 N80 +
N37 N1916 -
N39 N3263 +
N39 N131 -
N39 N3181 +
N39 N263 -
N40 N1066 +
N40 N571 +
N41 N593 +
N41 N2338 +
N41 N2019 +
N42 N1904 -
N42 N3313 -
N42 N2946 +
N43 N1219 +
N43 N230 -
N43 N410 -
N43 N731 +
N43 N1420 -
N43 N3035 +
N44 N1808 +
N46 N1192 -
N46 N537 +
N46 N1970 -
N47 N1545 -
N47 N3255 +
N49 N2800 -
N49 N375 -
N50 N2353 -
N51 N408 +
N51 N3110 +
N52 N2313 -
N52 N2270 +
N52 N2393 -
N54 N2761 +
N54 N779 +
N55 N552 +
N55 N1553 -
N55 N922 +
N55 N2286 +
N57 N2734 -
N57 N614 -
N57 N2359 +
N58 N2570 +
N59 N35 +
N59 N479 +
N60 N1571 -
N61 N560 +
N61 N3137 +
N61 N2955 -
N62 N785 +
N62 N3115 +
N64 N3009 -
N64 N2419 -
N65 N221 +
N66 N2994 +
N66 N1124 +
N67 N2637 +
